feature,importance
numeric__UGDS,0.14809949313746937
numeric__MD_EARN_WNE_P10,0.0994649632524296
numeric__PCTFLOAN,0.07801225881607879
numeric__tuition_avg,0.055691452078764365
numeric__diversity_index,0.051921037050811795
numeric__completion_rate,0.04983897707308062
numeric__RET_FTL4,0.04752096808232233
numeric__UG25ABV,0.04495133172849059
numeric__AVGFACSAL,0.039056350584094915
categorical__predominant_degree_label_Bachelor's,0.037233323955339896
numeric__saipe_mhi,0.03687294716090734
numeric__PCTPELL,0.036391282492984234
numeric__saipe_poverty_pct,0.03547445428850801
numeric__cost_to_income_ratio,0.033771328514538325
numeric__net_price,0.02454002152959226
numeric__RET_FT4,0.017708172382271705
categorical__dominant_program_Trades & Applied,0.013709005633888324
categorical__region_label_Mid East,0.0122819805194128
categorical__predominant_degree_label_Graduate,0.01159564489775164
categorical__locale_label_Suburb,0.008576733783696597
categorical__predominant_degree_label_Certificates,0.008317647091388962
categorical__locale_label_City,0.008234975937917131
categorical__locale_label_Rural,0.007815554256782391
categorical__locale_label_Town,0.007756444961331234
categorical__control_label_Private for-profit,0.0076851694987829745
categorical__control_label_Public,0.007529358512367207
categorical__control_label_Private nonprofit,0.006933246124104083
categorical__region_label_Southeast,0.006784446848917969
categorical__region_label_Great Lakes,0.00573393354664126
categorical__region_label_Far West,0.00560012944496175
categorical__region_label_Plains,0.00531440604641666
categorical__dominant_program_STEM,0.005036482804080629
categorical__region_label_Southwest,0.004797998911358437
categorical__dominant_program_Health,0.0046237819914332
categorical__predominant_degree_label_Associate's,0.004464562112771943
categorical__predominant_degree_label_Not classified,0.00380189439021897
categorical__dominant_program_Humanities,0.003625229161156534
categorical__locale_label_Other/Unknown,0.0034128941440470136
categorical__region_label_New England,0.0022843426055033362
categorical__dominant_program_Social Science & Public Service,0.002126739054190156
categorical__region_label_Rocky Mountains,0.001668676305155754
categorical__region_label_Outlying Areas,0.0014384743272031692
categorical__dominant_program_Business,0.001296069603670433
categorical__dominant_program_Education,0.001005815357165407
categorical__region_label_U.S. Service Schools,0.0
