control_label,predominant_degree_label,dominant_program,region_label,locale_label,institutions,avg_default,avg_pell,avg_completion,avg_net_price
Public,Certificates,Health,Southwest,City,4,25.0,0.279025,0.57275,10521.0
Public,Certificates,STEM,Southwest,Town,1,4.9,0.1141,0.5676,10078.0
Public,Associate's,Health,Far West,Town,1,3.9,0.3719,0.3095,11695.0
Private for-profit,Associate's,Business,Mid East,Town,1,3.6999999999999997,0.6864,,19567.0
Private nonprofit,Associate's,STEM,Great Lakes,Suburb,1,3.5000000000000004,0.5238,,
Private nonprofit,Certificates,Social Science & Public Service,Far West,City,1,3.4000000000000004,0.0,,
Private nonprofit,Associate's,Humanities,Southwest,Town,2,3.1,0.5707,0.4202,14272.0
Private nonprofit,Associate's,Trades & Applied,Far West,Rural,1,2.7,0.3065,,25795.0
Private nonprofit,Associate's,Business,Plains,Suburb,2,2.6,0.5714,0.6304,11948.5
Public,Associate's,Health,Southeast,Rural,3,2.533333333333333,0.37220000000000003,0.4615,4508.333333333333
Private nonprofit,Graduate,STEM,Plains,City,8,2.5,,,
Private nonprofit,Certificates,Education,Rocky Mountains,City,1,2.3,0.1667,,13285.0
Private nonprofit,Associate's,Humanities,Far West,Rural,1,2.3,0.7763,0.1163,5427.0
Public,Associate's,Health,Great Lakes,Town,8,2.075,0.26303750000000004,0.3169,8165.75
Public,Certificates,Humanities,Southeast,Rural,8,2.075,0.3678375,0.3798375,6317.375
Private nonprofit,Certificates,Health,Southwest,Town,1,1.9,0.0,0.92,
Private nonprofit,Bachelor's,Education,Southeast,Suburb,1,1.9,0.2667,0.6071,10888.0
Private for-profit,Certificates,STEM,Southwest,Rural,1,1.4000000000000001,0.0321,0.8273,
Public,Certificates,Health,New England,Rural,3,1.366666666666667,0.41406666666666664,0.7439666666666667,24104.0
Public,Associate's,Humanities,Southeast,Rural,20,1.35,0.344905,0.3763894736842105,6491.75
Private for-profit,Certificates,Health,Rocky Mountains,Town,2,1.35,0.6017,1.0,
Private for-profit,Certificates,Trades & Applied,Southeast,Town,24,1.325,0.6789791666666667,0.5376666666666666,
Private for-profit,Certificates,Trades & Applied,Southeast,Rural,7,1.3000000000000003,0.6737285714285715,0.7793285714285715,
Private nonprofit,Bachelor's,Social Science & Public Service,Southwest,Town,3,1.2666666666666666,0.3199666666666667,0.48850000000000005,23835.0
Private for-profit,Certificates,Trades & Applied,Rocky Mountains,Town,8,1.0750000000000002,0.443875,0.8023250000000001,
Public,Certificates,STEM,Southeast,City,2,1.05,0.39625,0.4991,6506.5
Public,Associate's,Health,Southwest,Rural,5,1.04,0.28128000000000003,0.27276,9725.8
Private for-profit,Associate's,Humanities,Far West,City,2,1.0,0.30010000000000003,0.5714,
Private for-profit,Certificates,Trades & Applied,Far West,Town,4,0.975,0.37085,0.6264,
Private for-profit,Certificates,STEM,Great Lakes,Suburb,2,0.8500000000000001,0.56635,0.72595,
Private nonprofit,Certificates,Humanities,Mid East,City,9,0.8333333333333333,0.23922222222222222,0.69702,31780.85714285714
Private nonprofit,Graduate,STEM,New England,City,5,0.82,,,
Private nonprofit,Graduate,STEM,Mid East,Town,1,0.8,,,
Private for-profit,Certificates,Trades & Applied,Southwest,Town,11,0.7727272727272727,0.5938727272727273,0.7481454545454546,
Public,Certificates,Health,Southeast,Town,13,0.7692307692307693,0.39170000000000005,0.3704363636363636,8776.923076923076
Public,Certificates,Trades & Applied,Great Lakes,Rural,4,0.75,0.236325,0.467875,8041.75
Private nonprofit,Graduate,STEM,Outlying Areas,City,4,0.7000000000000001,,,
Private nonprofit,Bachelor's,Social Science & Public Service,Far West,Suburb,13,0.6923076923076923,0.3602692307692308,0.42951818181818185,21513.0
Private for-profit,Certificates,Humanities,Far West,City,4,0.675,0.287925,0.2115,52043.0
Public,Associate's,Social Science & Public Service,Far West,Suburb,4,0.625,0.247075,0.3500666666666667,7514.25
Private nonprofit,Graduate,STEM,Great Lakes,City,22,0.6136363636363636,,,
Private for-profit,Not classified,STEM,Mid East,Other/Unknown,13,0.6076923076923078,,,
Private for-profit,Associate's,Humanities,Mid East,City,1,0.6,0.4548,0.6462,55473.0
Public,Certificates,Trades & Applied,Southeast,Rural,12,0.5750000000000001,0.37434999999999996,0.41681666666666667,5775.25
Private for-profit,Graduate,STEM,Southwest,City,3,0.5666666666666668,,,
Public,Certificates,Health,New England,Suburb,6,0.5333333333333333,0.4133,0.7967000000000001,27140.4
Public,Certificates,STEM,Great Lakes,Rural,3,0.5333333333333333,0.21863333333333332,0.5194666666666666,10384.666666666666
Private nonprofit,Certificates,Humanities,Far West,City,2,0.5,0.1895,0.6387,30675.0
Private for-profit,Certificates,Trades & Applied,Plains,Town,10,0.49000000000000005,0.55535,0.74159,
Private nonprofit,Graduate,STEM,Mid East,City,28,0.4857142857142857,,,
Private nonprofit,Bachelor's,Social Science & Public Service,Great Lakes,Town,3,0.46666666666666673,0.3201,0.5472333333333333,18868.0
Private nonprofit,Graduate,STEM,Mid East,Suburb,13,0.46153846153846156,,,
Public,Associate's,Humanities,Southwest,City,23,0.43478260869565216,0.30994782608695653,0.2728363636363636,6308.565217391304
Private nonprofit,Certificates,Health,Far West,City,7,0.42857142857142855,0.4374857142857143,0.6897666666666668,24984.285714285714
Private nonprofit,Bachelor's,Social Science & Public Service,Southwest,City,8,0.42500000000000004,0.40588749999999996,0.5236285714285714,19598.0
Public,Certificates,Health,Mid East,Town,11,0.4,0.608890909090909,0.6590818181818182,17185.7
Private for-profit,Certificates,Trades & Applied,Great Lakes,Town,14,0.3785714285714286,0.5800071428571429,0.6580785714285715,
Private for-profit,Associate's,Health,Mid East,Suburb,7,0.37142857142857144,0.6074,0.6231,29653.25
Public,Certificates,Trades & Applied,Mid East,Suburb,10,0.37,0.35601,0.79276,13177.888888888889
Public,Associate's,Humanities,Far West,Rural,9,0.32222222222222224,0.27178888888888886,0.34403333333333336,5393.555555555556
Private nonprofit,Bachelor's,Social Science & Public Service,Southeast,Rural,6,0.3,0.47928333333333334,0.4921333333333333,14812.333333333334
Private for-profit,Certificates,Health,Rocky Mountains,City,7,0.3,0.5161714285714286,0.653125,34871.0
Private for-profit,Associate's,Health,Plains,City,5,0.3,0.55358,0.4286,26716.4
Public,Certificates,Health,Far West,City,5,0.3,0.246,0.652425,7902.6
Private nonprofit,Graduate,STEM,Southeast,Suburb,8,0.27499999999999997,,,
Private for-profit,Certificates,Trades & Applied,New England,City,10,0.24,0.44706999999999997,0.7363111111111111,25552.0
Private for-profit,Certificates,Trades & Applied,New England,Suburb,36,0.2361111111111111,0.4419166666666667,0.7535885714285714,26012.0
Public,Certificates,Health,Plains,Town,14,0.23571428571428574,0.4832571428571429,0.6492142857142857,12276.0
Public,Certificates,Trades & Applied,Southeast,City,18,0.2277777777777778,0.36244444444444446,0.46116666666666667,6200.611111111111
Private for-profit,Certificates,Trades & Applied,Mid East,City,49,0.22244897959183674,0.48505714285714285,0.681044680851064,23969.5
Private for-profit,Certificates,Trades & Applied,Plains,Suburb,12,0.21666666666666665,0.5027499999999999,0.6938583333333334,
Public,Certificates,Health,Mid East,Suburb,15,0.21333333333333335,0.5363533333333333,0.7999071428571429,20665.071428571428
Public,Associate's,Humanities,Far West,Town,10,0.21000000000000002,0.27637,0.3012875,8870.7
Public,Certificates,Health,Plains,Rural,7,0.2,0.27985714285714286,0.5995714285714285,10034.142857142857
Private nonprofit,Associate's,Health,Southeast,City,11,0.19999999999999998,0.608909090909091,0.587,21118.18181818182
Public,Certificates,Health,Mid East,Rural,18,0.18333333333333332,0.5895333333333332,0.6846375,16894.466666666667
Private for-profit,Certificates,Health,Mid East,City,23,0.1826086956521739,0.5973913043478261,0.6118047619047619,38743.75
Private for-profit,Associate's,Health,Southeast,Suburb,11,0.18181818181818182,0.6166909090909091,0.6796571428571428,37793.75
Private nonprofit,Bachelor's,STEM,New England,Rural,5,0.18,0.36254,0.51918,25943.6
Private for-profit,Certificates,Trades & Applied,Far West,City,90,0.17777777777777778,0.5148088888888889,0.7046127906976744,31427.666666666668
