UNITID,INSTNM,control_label,predominant_degree_label,region_label,locale_label,dominant_program,default_rate_pct,net_price,completion_rate,PCTPELL,risk_score,risk_flag
442523,Alaska Christian College,Private nonprofit,Associate's,Far West,Rural,Humanities,2.3,5427.0,0.1163,0.7763,0.9991904761904761,1
481058,Grace Mission University,Private nonprofit,Bachelor's,Far West,Suburb,Social Science & Public Service,9.0,,0.0,0.19,0.9986538461538462,1
377272,Nuvani Institute,Private for-profit,Certificates,Southwest,City,Trades & Applied,2.1,,0.8649,0.9355,0.9984505718954249,1
199722,Southeastern Community College,Public,Associate's,Southeast,Rural,Humanities,7.1,4474.0,0.5102,0.4535,0.9983765262515262,1
198729,James Sprunt Community College,Public,Certificates,Southeast,Rural,Humanities,16.6,3852.0,0.3889,0.3833,0.9981860500610501,1
260363,Greene County Career and Technology Center,Public,Certificates,Mid East,Town,Health,2.1,18315.0,1.0,0.7333,0.9977247474747475,1
412535,Shawsheen Valley School of Practical Nursing,Public,Certificates,New England,Suburb,Health,2.1999999999999997,20676.0,1.0,0.4565,0.9972245564892622,1
216746,Welder Training and Testing Institute,Private for-profit,Certificates,Mid East,City,Trades & Applied,2.6,,0.9333,0.314,0.997176011264721,1
140678,North Georgia Technical College,Public,Certificates,Southeast,Rural,Trades & Applied,4.1000000000000005,4361.0,0.3669,0.4218,0.997094663506428,1
483850,Alliance Computing Solutions,Private for-profit,Certificates,Mid East,City,Health,4.2,,0.9091,0.25,0.9969837509077706,1
200554,United Tribes Technical College,Private nonprofit,Associate's,Plains,Suburb,Business,5.2,2010.0,,0.751,0.9965277777777779,1
444334,Advance Science International College,Private for-profit,Associate's,Southeast,Suburb,Health,2.0,,1.0,0.587,0.9963760683760684,1
190008,Circle in the Square Theatre School,Private nonprofit,Certificates,Mid East,City,Humanities,2.1999999999999997,29537.0,1.0,0.2326,0.9963638768638767,1
199324,Piedmont Community College,Public,Associate's,Southeast,Rural,Humanities,14.2,5215.0,0.4167,0.2861,0.9960584554334554,1
197966,Beaufort County Community College,Public,Associate's,Southeast,Rural,Humanities,4.8,5105.0,0.3625,0.3111,0.9960057798481711,1
460808,Integrated Massage Therapy Services,Private for-profit,Certificates,Rocky Mountains,Town,Health,2.7,,1.0,0.7692,0.9959127886002886,1
183804,Beth Medrash Govoha,Private nonprofit,Bachelor's,Mid East,City,STEM,6.2,,,0.7274,0.9958792419266558,1
481456,Bonnie Joseph Academy of Cosmetology & Barbering,Private for-profit,Certificates,Rocky Mountains,Town,Trades & Applied,5.800000000000001,,0.5333,0.2963,0.9957002566607138,1
458140,Northwest School of Wooden Boat Building,Private nonprofit,Associate's,Far West,Rural,Trades & Applied,2.7,25795.0,,0.3065,0.9956998981223119,1
490674,Manuel and Theresa's School of Hair Design,Private for-profit,Certificates,Southwest,Town,Trades & Applied,2.8000000000000003,,0.8333,0.4444,0.9956021529335097,1
420431,Oconee Fall Line Technical College,Public,Certificates,Southeast,Rural,Trades & Applied,2.7,294.0,0.4167,0.5206,0.9955912854030499,1
483957,Lawrence & Company College of Cosmetology,Private for-profit,Certificates,Far West,Town,Trades & Applied,3.9,,0.8235,0.2836,0.9952762005279536,1
417600,Hastings Beauty School,Private for-profit,Certificates,Plains,Town,Trades & Applied,2.8000000000000003,,0.6923,0.6538,0.9952111567522591,1
198640,Halifax Community College,Public,Associate's,Southeast,Rural,Health,7.6,4073.0,0.4138,0.3106,0.9950219581143492,1
457624,Southern Worcester County Regional Vocational School District,Public,Certificates,New England,Rural,Health,4.1000000000000005,32513.0,0.6667,0.3095,0.994996765788052,1
445780,Cosmetology School of Arts & Sciences,Private for-profit,Certificates,Rocky Mountains,Town,Trades & Applied,2.8000000000000003,,0.8333,0.8788,0.9949786116661119,1
207786,Southern School of Beauty Inc,Private for-profit,Certificates,Southwest,Town,Trades & Applied,2.5,,0.8,0.8,0.9948400050197717,1
417655,Warrensburg Area Career Center,Public,Certificates,Plains,Town,Health,3.3000000000000003,2106.0,0.7333,0.6842,0.9944701779701779,1
159531,Louisiana Academy of Beauty,Private for-profit,Certificates,Southeast,Town,Trades & Applied,3.5000000000000004,,0.8333,0.3721,0.9943942948391475,1
