UNITID,INSTNM,control_label,predominant_degree_label,region_label,locale_label,dominant_program,default_rate_pct,net_price,completion_rate,PCTPELL,risk_score,risk_flag
490674,Manuel and Theresa's School of Hair Design,Private for-profit,Certificates,Southwest,Town,Trades & Applied,2.8000000000000003,,0.8333,0.4444,0.8467257406581801,1
444468,Lawrenceburg Technical College,Private for-profit,Certificates,Southeast,Town,Trades & Applied,14.2,,0.7778,0.7826,0.8426161819923094,1
199324,Piedmont Community College,Public,Associate's,Southeast,Rural,Humanities,14.2,5215.0,0.4167,0.2861,0.834085834003357,1
444228,LeGrand Institute of Cosmetology Inc,Private for-profit,Certificates,Southeast,Town,Trades & Applied,2.7,,0.6923,0.6905,0.8320239605647521,1
179991,Academy of Cosmetology Inc,Private for-profit,Certificates,Rocky Mountains,City,Trades & Applied,2.4,,0.9412,0.3696,0.8155592214786627,1
198640,Halifax Community College,Public,Associate's,Southeast,Rural,Health,7.6,4073.0,0.4138,0.3106,0.8151545088382198,1
445780,Cosmetology School of Arts & Sciences,Private for-profit,Certificates,Rocky Mountains,Town,Trades & Applied,2.8000000000000003,,0.8333,0.8788,0.81177492806901,1
483957,Lawrence & Company College of Cosmetology,Private for-profit,Certificates,Far West,Town,Trades & Applied,3.9,,0.8235,0.2836,0.8025317976135949,1
470296,Manuel and Theresa's School of Hair Design-Victoria,Private for-profit,Certificates,Southwest,City,Trades & Applied,2.8000000000000003,,0.7586,0.625,0.799356255459715,1
485607,Dolce The Academy,Private for-profit,Certificates,New England,City,Trades & Applied,2.4,,0.5217,0.4167,0.7989091694711281,1
167039,Rob Roy Academy-New Bedford,Private for-profit,Certificates,New England,Suburb,Trades & Applied,2.8000000000000003,,0.8333,0.5652,0.7983018003421201,1
480879,Academy of Salon Professionals,Private for-profit,Certificates,Plains,Town,Trades & Applied,2.1,,0.6667,0.4894,0.7968343484496972,1
233666,Staunton School of Cosmetology,Private for-profit,Certificates,Southeast,City,Trades & Applied,2.6,,0.7143,0.5313,0.7949134883619267,1
197966,Beaufort County Community College,Public,Associate's,Southeast,Rural,Humanities,4.8,5105.0,0.3625,0.3111,0.793975588737473,1
199722,Southeastern Community College,Public,Associate's,Southeast,Rural,Humanities,7.1,4474.0,0.5102,0.4535,0.7922940110003396,1
207786,Southern School of Beauty Inc,Private for-profit,Certificates,Southwest,Town,Trades & Applied,2.5,,0.8,0.8,0.7910640116760974,1
417062,Estes Institute of Cosmetology Arts and Science,Private for-profit,Certificates,Far West,City,Trades & Applied,2.0,,0.8,0.4632,0.7895931074800372,1
198367,Craven Community College,Public,Associate's,Southeast,Town,Humanities,2.3,4402.0,0.4576,0.3426,0.786774261750541,1
451547,Manuel and Theresa's School of Hair Design-Bryan,Private for-profit,Certificates,Southwest,City,Trades & Applied,2.8000000000000003,,0.9,0.7083,0.785091791631345,1
159531,Louisiana Academy of Beauty,Private for-profit,Certificates,Southeast,Town,Trades & Applied,3.5000000000000004,,0.8333,0.3721,0.7825127834629044,1
198729,James Sprunt Community College,Public,Certificates,Southeast,Rural,Humanities,16.6,3852.0,0.3889,0.3833,0.7816341268854609,1
377272,Nuvani Institute,Private for-profit,Certificates,Southwest,City,Trades & Applied,2.1,,0.8649,0.9355,0.7808090170310037,1
224013,BK Cosmo College of Cosmetology,Private for-profit,Certificates,Southwest,Town,Trades & Applied,3.2,,0.7143,0.7206,0.7791036763887523,1
175698,Fosters Cosmetology College,Private for-profit,Certificates,Southeast,Rural,Trades & Applied,2.0,,0.7826,0.9322,0.7784770853884574,1
417600,Hastings Beauty School,Private for-profit,Certificates,Plains,Town,Trades & Applied,2.8000000000000003,,0.6923,0.6538,0.7773098490986482,1
368911,Southeastern Technical College,Public,Certificates,Southeast,Town,Health,10.0,6072.0,0.3409,0.3887,0.7733663315966084,1
140678,North Georgia Technical College,Public,Certificates,Southeast,Rural,Trades & Applied,4.1000000000000005,4361.0,0.3669,0.4218,0.7711040993866644,1
460808,Integrated Massage Therapy Services,Private for-profit,Certificates,Rocky Mountains,Town,Health,2.7,,1.0,0.7692,0.768628370966617,1
483850,Alliance Computing Solutions,Private for-profit,Certificates,Mid East,City,Health,4.2,,0.9091,0.25,0.7647990898096314,1
491853,Princess Institute of Beauty,Private for-profit,Certificates,Far West,Town,Trades & Applied,0.0,,0.8571,0.5882,0.7645343072761279,1
105677,Roberto-Venn School of Luthiery,Private for-profit,Certificates,Southwest,City,Trades & Applied,2.0,,0.9091,0.1957,0.7619798248515495,1
125310,Waynes College of Beauty,Private for-profit,Certificates,Far West,City,Trades & Applied,0.0,,0.7619,0.6944,0.7602958299450181,1
407434,Orlo School of Hair Design and Cosmetology,Private for-profit,Certificates,Mid East,City,Trades & Applied,2.9000000000000004,,0.6739,0.3765,0.7569204806352349,1
374343,KC's School of Hair Design,Private for-profit,Certificates,Southeast,Rural,Trades & Applied,3.0,,0.7368,0.7674,0.7536049021823262,1
447722,Palladium Technical Academy Inc,Private for-profit,Certificates,Far West,Suburb,Health,2.4,,0.8,0.898,0.752497264561391,1
480976,The Salon Professional Academy-Huntsville,Private for-profit,Certificates,Southeast,City,Trades & Applied,4.0,,0.8571,0.4805,0.7490885171583551,1
481298,Lawrence & Company College of Cosmetology,Private for-profit,Certificates,Far West,City,Trades & Applied,6.5,,0.175,0.4167,0.7445833210591633,1
488262,Hair Academy School of Barbering & Beauty,Private for-profit,Certificates,Mid East,Suburb,Trades & Applied,2.1999999999999997,,0.4167,0.5313,0.7414926033672283,1
108861,Berkeley School of Theology,Private nonprofit,Certificates,Far West,City,Social Science & Public Service,3.4000000000000004,,,0.0,0.7403330682986986,1
457466,Profile Institute of Barber-Styling,Private for-profit,Certificates,Southeast,City,Trades & Applied,2.6,,0.8947,0.56,0.7388509400598237,1
420431,Oconee Fall Line Technical College,Public,Certificates,Southeast,Rural,Trades & Applied,2.7,294.0,0.4167,0.5206,0.7381169410392536,1
412535,Shawsheen Valley School of Practical Nursing,Public,Certificates,New England,Suburb,Health,2.1999999999999997,20676.0,1.0,0.4565,0.7366897837860248,1
481456,Bonnie Joseph Academy of Cosmetology & Barbering,Private for-profit,Certificates,Rocky Mountains,Town,Trades & Applied,5.800000000000001,,0.5333,0.2963,0.7349958221779371,1
204963,Paramount Beauty Academy,Private for-profit,Certificates,Great Lakes,Town,Trades & Applied,2.6,,0.8485,0.5821,0.7263874171391224,1
